message_id,wpm,snr_requested_db,signal_type,device,transform,windows_available,windows_tested,fidelity_mean,fidelity_std,fidelity_min,leakage_mean,leakage_max,depth_mean,depth_std,size_mean,size_std,twoq_mean,twoq_std,simulation_time_mean_s,simulation_time_std_s,simulation_time_total_s
1,20,10.0,noisy,ideal,QDWT,260,260,0.9999999999998671,2.2854669209397453e-15,0.9999999999998621,0.0,0.0,3668.0,0.0,4746.0,0.0,2143.0,0.0,0.1933145107690227,0.009980320573984352,50.2617727999459
1,20,10.0,noisy,FakeSherbrooke,QFT,260,260,0.04172393786721682,0.001198829478937931,0.03871524462942767,0.0,0.0,1234.2423076923078,48.70206655761384,2030.9346153846154,48.68801339065904,315.0,0.0,0.41437499884632417,0.050908567077466806,107.73749970004428
1,20,10.0,noisy,FakeSherbrooke,QDCT,260,260,0.0020313409391328335,4.0496674321298154e-05,0.001970851029320631,0.4930212580499368,0.4930611312852218,7146.834615384615,48.728126787684815,13335.526923076923,48.71395359799828,2221.0,0.0,1.0677506399990166,0.07452152786029399,277.61516639974434
1,20,10.0,noisy,FakeSherbrooke,QDST,260,260,0.0019943568964234802,4.4414080154895225e-05,0.0019144959624129488,0.5067718946255922,0.5067891371970008,7146.834615384615,48.728126787684815,13336.526923076923,48.71395359799828,2221.0,0.0,1.0498989623051154,0.05746320815796619,272.97373019933
1,20,10.0,noisy,FakeSherbrooke,QDWT,260,260,0.003925940491343571,5.910486603404374e-05,0.003796177252191416,0.0,0.0,8466.226923076923,48.69029328072807,14833.91923076923,48.6761394653935,2451.0,0.0,0.7930267926934623,0.0555594408252993,206.1869661003002
1,20,0.0,noisy,ideal,QFT,260,260,0.9999999999999989,1.7686539789460745e-15,0.9999999999999938,0.0,0.0,511.0,0.0,542.0,0.0,279.0,0.0,0.03345344076895764,0.0032312964855880184,8.697894599928986
1,20,0.0,noisy,ideal,QDCT,260,260,0.9999999999998811,2.503253238950825e-15,0.9999999999998737,0.0,0.0,3235.0,0.0,4377.0,0.0,2061.0,0.0,0.4780425753860842,0.03240455509207295,124.29106960038189
1,20,0.0,noisy,ideal,QDST,260,260,0.9999999999998802,2.6587108977573355e-15,0.9999999999998734,0.0,0.0,3236.0,0.0,4378.0,0.0,2061.0,0.0,0.4690163899983208,0.01573592118445552,121.9442613995634
1,20,0.0,noisy,ideal,QDWT,260,260,0.9999999999998662,2.336201312598131e-15,0.9999999999998574,0.0,0.0,3668.0,0.0,4746.0,0.0,2143.0,0.0,0.19364682346036155,0.012497055915967179,50.348174099694006
1,20,0.0,noisy,FakeSherbrooke,QFT,260,260,0.04107936463746182,0.000645231653713177,0.037979451674728396,0.0,0.0,1254.1423076923077,68.08359495771991,2050.723076923077,68.09721731405152,315.0,0.0,0.41449428346061795,0.05197843571296041,107.76851369976066
1,20,0.0,noisy,FakeSherbrooke,QDCT,260,260,0.0020032586404649558,1.7598298138204334e-05,0.001969398673296287,0.4930343797928575,0.493053787375618,7166.757692307692,68.3071044456686,13355.338461538462,68.32091174924791,2221.0,0.0,1.048266413079154,0.05808488143341288,272.54926740058
1,20,0.0,noisy,FakeSherbrooke,QDST,260,260,0.0019563439836408187,2.1148423620032788e-05,0.0019121003033637088,0.5067591817521572,0.5067752473476699,7166.757692307692,68.3071044456686,13356.338461538462,68.32091174924791,2221.0,0.0,1.0546049173045993,0.058667191634222265,274.1972784991958
1,20,0.0,noisy,FakeSherbrooke,QDWT,260,260,0.00391550425907581,2.3985857458074028e-05,0.0038464851671835055,0.0,0.0,8486.134615384615,68.07372384920797,14853.715384615385,68.08735730553853,2451.0,0.0,0.792367870770753,0.055152142299656225,206.01564640039578
1,20,-10.0,noisy,ideal,QFT,260,260,0.9999999999999989,1.7690961943745323e-15,0.9999999999999929,0.0,0.0,511.0,0.0,542.0,0.0,279.0,0.0,0.03399892692552665,0.0042037642148852715,8.839721000636928
1,20,-10.0,noisy,ideal,QDCT,260,260,0.9999999999998784,2.2030089979033648e-15,0.9999999999998717,0.0,0.0,3235.0,0.0,4377.0,0.0,2061.0,0.0,0.4770451180768969,0.030196489554871024,124.0317306999932
1,20,-10.0,noisy,ideal,QDST,260,260,0.9999999999998771,2.179165551514263e-15,0.9999999999998703,0.0,0.0,3236.0,0.0,4378.0,0.0,2061.0,0.0,0.4727335634634633,0.02126784353351042,122.91072650050046
1,20,-10.0,noisy,ideal,QDWT,260,260,0.9999999999998656,2.2142136485544466e-15,0.9999999999998589,0.0,0.0,3668.0,0.0,4746.0,0.0,2143.0,0.0,0.19599121653680832,0.01574297506461061,50.957716299570166
