message_id,wpm,snr_requested_db,signal_type,transform,implementation,retention_requested,retention_actual,avg_kept,rmse,snr_db,correlation,rmse_vs_clean,snr_vs_clean_db,corr_vs_clean,retention_pct
0,20,30,noisy,FFT,classical,0.85,0.8535933355437666,218.51989389920425,0.00877952088641927,34.99521065292194,0.9998419924463545,0.02398398022935564,26.258905813872772,0.9988180849699035,85.0
0,20,30,noisy,FFT,classical,0.75,0.7521758952254642,192.55702917771885,0.013375591487627984,31.338367055296427,0.9996330133147815,0.025673011060519755,25.667794805725833,0.998645457361653,75.0
0,20,30,noisy,FFT,classical,0.5,0.5019583057029178,128.50132625994695,0.02477982333925506,25.98266286258788,0.9987387975681339,0.030088303617981996,24.28937690679632,0.9981376503749293,50.0
0,20,30,noisy,FFT,classical,0.45,0.4550211372679045,116.48541114058355,0.02720928091020403,25.170285693010047,0.9984791874501019,0.031205051623133116,23.972832856357105,0.9979965405431842,45.0
0,20,30,noisy,FFT,classical,0.25,0.2503212035809019,64.08222811671088,0.044821378359581006,20.834922821015954,0.9958659514527985,0.0443300387538141,20.92336874465421,0.9959497397821178,25.0
0,20,30,noisy,FFT,classical,0.1,0.10164539124668436,26.021220159151195,0.07812400213317697,16.008937315902887,0.987386842449462,0.07633198740212883,16.203199564986285,0.9879420040085517,10.0
0,20,30,noisy,FFT,classical,0.05,0.05464605437665782,13.989389920424403,0.10719555697495349,13.261091276844205,0.9761175950985629,0.10545402609279142,13.396067660528672,0.9768570921890728,5.0
0,20,30,noisy,FFT,classical,0.02,0.02345822281167109,6.005305039787799,0.17167341401300126,9.17056610200839,0.9375265172503193,0.1705003837599874,9.222823747269011,0.9382983187321624,2.0
0,20,30,noisy,FFT,classical,0.01,0.015604277188328913,3.9946949602122017,0.20415127671420147,7.665584975148222,0.9103980143903349,0.20310416072233406,7.702954557864242,0.9112031262713621,1.0
0,20,30,noisy,DCT,classical,1.0,1.0,256.0,2.0991358868561982e-16,inf,0.9999999999999999,0.021789283126934837,27.092472122341317,0.9990245592386582,100.0
0,20,30,noisy,DCT,classical,0.85,0.8515625,218.0,0.0013845625366532307,51.03837545321078,0.9999960632927763,0.021763850581098428,27.102616251713943,0.9990268286458022,85.0
0,20,30,noisy,DCT,classical,0.75,0.75,192.0,0.003002239315459073,44.31572082186449,0.9999814901967091,0.02167548969547423,27.137952606018978,0.9990346914617675,75.0
0,20,30,noisy,DCT,classical,0.5,0.5,128.0,0.009015485709827182,34.764844393421306,0.9998330774222829,0.020834375808849833,27.481721090621622,0.999107941036839,50.0
0,20,30,noisy,DCT,classical,0.45,0.453125,116.0,0.01055118634674472,33.3986011145851,0.9997713597704517,0.020542708955164572,27.604176699942464,0.999132657078127,45.0
0,20,30,noisy,DCT,classical,0.25,0.25,64.0,0.021987565637819853,27.021084001335247,0.9990069965380372,0.022778045664681754,26.70700177843862,0.9989328893518719,25.0
0,20,30,noisy,DCT,classical,0.1,0.1015625,26.0,0.05136608023741959,19.65109846335187,0.9945669798313018,0.04964847758927384,19.93921224557136,0.9949167228790403,10.0
0,20,30,noisy,DCT,classical,0.05,0.05078125,13.0,0.07680944166315519,16.15633481631778,0.9878103414345939,0.07473404249320693,16.386961471369045,0.9884444755445757,5.0
0,20,30,noisy,DCT,classical,0.02,0.0234375,6.0,0.11667899439866754,12.524773430292832,0.9716407416202363,0.11501936400960278,12.641911726512674,0.972406139491437,2.0
